Original ID,Master Question,Category,Ground Truth,Answer,Source,has_ground_truth,source_relation
CDICT001,"Giả sử dùng CTĐT 2025 để đối chiếu: CNTT CLC K44 cần hoàn thành tổng cộng bao nhiêu tín chỉ, và riêng năm học 2026-2027 mức học phí theo năm là bao nhiêu?",actual_tuition,Theo giả định đối chiếu CTĐT 2025: CTĐT có 168 tín chỉ; mức học phí cố định của K44 là 25 triệu đồng/năm học.,Theo giả định đối chiếu CTĐT 2025: CTĐT có 168 tín chỉ; mức học phí cố định của K44 là 25 triệu đồng/năm học.,67_7480201C_CongNgheThongTin_CTCLC.md; MucHocPhi_ChatLuongCao_TienTien.md,True,all_required
CDICT002,"Giả sử dùng CTĐT 2025 để đối chiếu: Với CNTT CLC K45, chương trình có tổng số tín chỉ là bao nhiêu? Năm 2026-2027 sinh viên phải đóng học phí cả năm ở mức nào?",actual_tuition,Theo giả định đối chiếu CTĐT 2025: CTĐT có 168 tín chỉ; mức học phí cố định của K45 là 26 triệu đồng/năm học.,Theo giả định đối chiếu CTĐT 2025: CTĐT có 168 tín chỉ; mức học phí cố định của K45 là 26 triệu đồng/năm học.,67_7480201C_CongNgheThongTin_CTCLC.md; MucHocPhi_ChatLuongCao_TienTien.md,True,all_required
CDICT003,Giả sử dùng CTĐT 2025 để đối chiếu: Sinh viên CNTT CLC K46 học tổng cộng bao nhiêu tín chỉ và mức thu học phí theo năm cho 2026-2027 là bao nhiêu?,actual_tuition,Theo giả định đối chiếu CTĐT 2025: CTĐT có 168 tín chỉ; mức học phí cố định của K46 là 28 triệu đồng/năm học.,Theo giả định đối chiếu CTĐT 2025: CTĐT có 168 tín chỉ; mức học phí cố định của K46 là 28 triệu đồng/năm học.,67_7480201C_CongNgheThongTin_CTCLC.md; MucHocPhi_ChatLuongCao_TienTien.md,True,all_required
CDICT004,Giả sử dùng CTĐT 2025 để đối chiếu: Cho mình biết tổng số tín chỉ của CNTT CLC K47 và số tiền học phí một năm áp dụng trong năm học 2026-2027.,actual_tuition,Theo giả định đối chiếu CTĐT 2025: CTĐT có 168 tín chỉ; mức học phí cố định của K47 là 30 triệu đồng/năm học.,Theo giả định đối chiếu CTĐT 2025: CTĐT có 168 tín chỉ; mức học phí cố định của K47 là 30 triệu đồng/năm học.,67_7480201C_CongNgheThongTin_CTCLC.md; MucHocPhi_ChatLuongCao_TienTien.md,True,all_required
CDICT005,"Giả sử dùng CTĐT 2025 để đối chiếu: CNTT CLC K48 cần hoàn thành tổng cộng bao nhiêu tín chỉ, và riêng năm học 2026-2027 mức học phí theo năm là bao nhiêu?",actual_tuition,Theo giả định đối chiếu CTĐT 2025: CTĐT có 168 tín chỉ; mức học phí cố định của K48 là 33 triệu đồng/năm học.,Theo giả định đối chiếu CTĐT 2025: CTĐT có 168 tín chỉ; mức học phí cố định của K48 là 33 triệu đồng/năm học.,67_7480201C_CongNgheThongTin_CTCLC.md; MucHocPhi_ChatLuongCao_TienTien.md,True,all_required
CDICT006,"Giả sử dùng CTĐT 2025 để đối chiếu: Với CNTT CLC K49, chương trình có tổng số tín chỉ là bao nhiêu? Năm 2026-2027 sinh viên phải đóng học phí cả năm ở mức nào?",actual_tuition,Theo giả định đối chiếu CTĐT 2025: CTĐT có 168 tín chỉ; mức học phí cố định của K49 là 36 triệu đồng/năm học.,Theo giả định đối chiếu CTĐT 2025: CTĐT có 168 tín chỉ; mức học phí cố định của K49 là 36 triệu đồng/năm học.,67_7480201C_CongNgheThongTin_CTCLC.md; MucHocPhi_ChatLuongCao_TienTien.md,True,all_required
CDICT007,Giả sử dùng CTĐT 2025 để đối chiếu: Sinh viên CNTT CLC K50 học tổng cộng bao nhiêu tín chỉ và mức thu học phí theo năm cho 2026-2027 là bao nhiêu?,actual_tuition,Theo giả định đối chiếu CTĐT 2025: CTĐT có 168 tín chỉ; mức học phí cố định của K50 là 36 triệu đồng/năm học.,Theo giả định đối chiếu CTĐT 2025: CTĐT có 168 tín chỉ; mức học phí cố định của K50 là 36 triệu đồng/năm học.,67_7480201C_CongNgheThongTin_CTCLC.md; MucHocPhi_ChatLuongCao_TienTien.md,True,all_required
CDICT008,Giả sử dùng CTĐT 2025 để đối chiếu: Cho mình biết tổng số tín chỉ của CNTT CLC K51 và số tiền học phí một năm áp dụng trong năm học 2026-2027.,actual_tuition,Theo giả định đối chiếu CTĐT 2025: CTĐT có 168 tín chỉ; mức học phí cố định của K51 là 40 triệu đồng/năm học.,Theo giả định đối chiếu CTĐT 2025: CTĐT có 168 tín chỉ; mức học phí cố định của K51 là 40 triệu đồng/năm học.,67_7480201C_CongNgheThongTin_CTCLC.md; MucHocPhi_ChatLuongCao_TienTien.md,True,all_required
CDICT009,"Giả sử dùng CTĐT 2025 để đối chiếu: CNTT CLC K52 cần hoàn thành tổng cộng bao nhiêu tín chỉ, và riêng năm học 2026-2027 mức học phí theo năm là bao nhiêu?",actual_tuition,"Theo giả định đối chiếu CTĐT 2025: CTĐT có 168 tín chỉ; mức học phí cố định của K52 là 44,0 triệu đồng/năm học.","Theo giả định đối chiếu CTĐT 2025: CTĐT có 168 tín chỉ; mức học phí cố định của K52 là 44,0 triệu đồng/năm học.",67_7480201C_CongNgheThongTin_CTCLC.md; MucHocPhi_ChatLuongCao_TienTien.md,True,all_required
CDICT010,"Giả sử dùng CTĐT 2025 để đối chiếu: Với KTPM CLC K48, chương trình có tổng số tín chỉ là bao nhiêu? Năm 2026-2027 sinh viên phải đóng học phí cả năm ở mức nào?",actual_tuition,Theo giả định đối chiếu CTĐT 2025: CTĐT có 168 tín chỉ; mức học phí cố định của K48 là 33 triệu đồng/năm học.,Theo giả định đối chiếu CTĐT 2025: CTĐT có 168 tín chỉ; mức học phí cố định của K48 là 33 triệu đồng/năm học.,71_7480103C_KyThuatPhanMem_CTCLC.md; MucHocPhi_ChatLuongCao_TienTien.md,True,all_required
