Original ID,Master Question,Category,Ground Truth,Answer,Source,has_ground_truth,source_relation
26,CNTT Khóa 49 đóng bao nhiêu cho mỗi tín chỉ thuộc phần đại cương chung?,actual_tuition,"Chương trình đào tạo chuẩn, đối với khóa 51 trở về trước: ""Mức học phí khối kiến thức đại cương chung"" là 695.000 đồng/tín chỉ. Chương trình chất lượng cao: ""Mức học phí của khối kiến thức đại cương chung (tất cả các ngành)"" tại K49 là 441.000 đồng/tín chỉ.",Chương trình chuẩn: 695.000 đồng/tín chỉ; chương trình chất lượng cao: 441.000 đồng/tín chỉ.,MucHocPhi_QuyDinhChung.md,True,single
27,"Với Khóa 52 hệ đại trà, mỗi tín chỉ của phần đại cương chung được tính bao nhiêu?",actual_tuition,"""Mức học phí của khối kiến thức đại cương chung (tất cả các ngành)"" đối với K52 là 695.000 đồng/tín chỉ.",Mức học phí là 695.000 đồng/tín chỉ,MucHocPhi_DaiHocChinhQuy_Khoa52.md; MucHocPhi_QuyDinhChung.md,True,all_required
28,Nếu sinh viên Khóa 52 phải học lại sau thời gian chuẩn của chương trình thì học phí được tính theo hệ số nào?,actual_tuition,"Học ngoài thời gian thiết kế của chương trình đào tạo ngành thứ nhất: Là mức học phí áp dụng cho Khóa 52 nhân với hệ số 1,3.","Bị nhân với hệ số 1,3",MucHocPhi_QuyDinhChung.md; MucHocPhi_DaiHocChinhQuy_Khoa52.md,True,all_required
29,Sinh viên Khóa 51 học lại sau thời gian đào tạo thiết kế sẽ bị tính học phí gấp mấy lần?,actual_tuition,"Học ngoài thời gian thiết kế của chương trình đào tạo ngành thứ nhất: Là mức học phí mục a hoặc mục b nhân với hệ số 1,3.","Bị nhân với hệ số 1,3",MucHocPhi_QuyDinhChung.md,True,single
30,Sư phạm Toán K51 trở về trước: mỗi tín chỉ đóng ở mức nào?,actual_tuition,"Mức học phí/tín chỉ khối kiến thức đại cương ngành, cơ sở ngành, chuyên ngành đại học chính quy chương trình đào tạo chuẩn, áp dụng cho Khóa 51 về trước: Sư phạm Toán học — Mức HP 26-27/TC: 695.000.",Mức học phí là 695.000 đồng/tín chỉ,MucHocPhi_DaiHocChinhQuy_Khoa51_VeTruoc.md,True,single
31,Một tín chỉ của ngành Sư phạm Toán học Khóa 52 được tính học phí bao nhiêu?,actual_tuition,"K52: Sư phạm Toán học — 109,5 Trđ/khóa; 807.000 đồng/tín chỉ.",Mức học phí là 807.000 đồng/tín chỉ,MucHocPhi_DaiHocChinhQuy_Khoa52.md,True,single
32,Quản trị kinh doanh hệ đại trà Khóa 52 dự kiến đóng tổng học phí cho cả khóa bao nhiêu?,actual_tuition,"K52: Quản trị kinh doanh — 114,5 Trđ/khóa; 844.000 đồng/tín chỉ.","Học phí toàn khóa là 114,5 triệu đồng",MucHocPhi_DaiHocChinhQuy_Khoa52.md,True,single
33,Sinh viên Khoa học máy tính Khóa 52 đóng bao nhiêu cho mỗi tín chỉ?,actual_tuition,"K52: Khoa học máy tính — 150,3 Trđ/khóa; 966.000 đồng/tín chỉ.",Mức học phí là 966.000 đồng/tín chỉ,MucHocPhi_DaiHocChinhQuy_Khoa52.md,True,single
34,Tổng học phí toàn khóa của ngành Kiến trúc hệ đại trà Khóa 52 là bao nhiêu?,actual_tuition,"K52: Kiến trúc — 165,6 Trđ/khóa; 1.016.000 đồng/tín chỉ.","Học phí toàn khóa là 165,6 triệu đồng",MucHocPhi_DaiHocChinhQuy_Khoa52.md,True,single
35,CNTT CLC K52 thu học phí cố định theo năm ở mức nào?,actual_tuition,"Học phí cố định theo khóa học (triệu đồng/năm học) — Chương trình chất lượng cao — Công nghệ thông tin — K52: 44,0.",Học phí là 44 triệu đồng/năm học,MucHocPhi_ChatLuongCao_TienTien.md,True,single
36,Kinh doanh quốc tế CLC K51: học phí tính theo năm ở mức bao nhiêu?,actual_tuition,Học phí cố định theo khóa học (triệu đồng/năm học) — Chương trình chất lượng cao — Kinh doanh quốc tế — K51: 40.,Học phí là 40 triệu đồng/năm học,MucHocPhi_ChatLuongCao_TienTien.md,True,single
37,Môn Năng lực số áp dụng cho Khóa 51 trở về trước được tính học phí ở mức nào?,actual_tuition,Mức học phí khối kiến thức đại cương chung — Năng lực số — Số tín chỉ: 3; Mức học phí một tín chỉ: 695.000.,Là 695.000 đồng/tín chỉ,MucHocPhi_QuyDinhChung.md,True,single
38,Một tín chỉ chuyên ngành của sinh viên Kế toán Khóa 51 có mức học phí bao nhiêu?,actual_tuition,áp dụng cho Khóa 51 về trước: Kế toán — Mức HP 26-27/TC: 727.000.,Mức học phí là 727.000 đồng/tín chỉ,MucHocPhi_DaiHocChinhQuy_Khoa51_VeTruoc.md,True,single
39,Kinh doanh nông nghiệp - Hòa An K52: mỗi tín chỉ phải đóng khoảng bao nhiêu?,actual_tuition,"K52: Kinh doanh nông nghiệp - Hòa An — 114,5 Trđ/khóa; 844.000 đồng/tín chỉ.",Học phí là 844.000 đồng/tín chỉ,MucHocPhi_DaiHocChinhQuy_Khoa52.md,True,single
76,"Ở học kỳ đầu của K51, học bổng khuyến khích học tập tính bình quân ở mức nào?",scholarship,"Định mức bình quân học bổng khuyến khích học tập của học kỳ đầu tiên Khóa 51 (áp dụng cho sinh viên của tất cả các chương trình: đại trà, tiên tiến, chất lượng cao) là 5.000.000 đồng/sinh viên/học kỳ.",Mức học bổng bình quân là 5.000.000 đồng/sinh viên/học kỳ,Tài liệu phân bổ quỹ học bổng.md; HB_K51_2026.md,True,any_valid
77,Tân sinh viên K51 thuộc diện tuyển thẳng được hưởng học bổng khuyến khích học tập kỳ đầu ở mức nào?,scholarship,"Sinh viên diện tuyển thẳng, ưu tiên xét tuyển Khóa 51 được hưởng mức học bổng khuyến khích học tập là 6.000.000 đồng/học kỳ trong học kỳ đầu tiên.",Mức hưởng học bổng là 6.000.000 đồng/học kỳ,Tài liệu phân bổ quỹ học bổng.md,True,single
78,Điểm rèn luyện nằm trong khoảng từ 80 đến dưới 90 được xếp vào mức nào?,scholarship,Được phân loại Tốt,Được phân loại Tốt,Tài liệu phân bổ quỹ học bổng.md,True,single
79,Sinh viên khối VI - Sức khỏe đạt mức Xuất sắc thì nhận học bổng bao nhiêu?,scholarship,Mức học bổng loại Xuất sắc là 10.560.000 đồng/học kỳ,Mức học bổng loại Xuất sắc là 10.560.000 đồng/học kỳ,Tài liệu phân bổ quỹ học bổng.md,True,single
80,"Ở khối III (Kinh doanh, quản lý và pháp luật), học bổng mức Khá có giá trị bao nhiêu?",scholarship,Mức học bổng loại Khá là 6.600.000 đồng/học kỳ,Mức học bổng loại Khá là 6.600.000 đồng/học kỳ,Tài liệu phân bổ quỹ học bổng.md,True,single
