Original ID,Master Question,Category,Ground Truth,Answer,Source,has_ground_truth,source_relation
26,"Trong năm học 2026-2027, CNTT Khóa 49 đóng bao nhiêu cho một tín chỉ đại cương chung ở chương trình chuẩn và chương trình chất lượng cao?",actual_tuition,Chương trình chuẩn: 695.000 đồng/tín chỉ; chương trình chất lượng cao: 441.000 đồng/tín chỉ.,Chương trình chuẩn: 695.000 đồng/tín chỉ; chương trình chất lượng cao: 441.000 đồng/tín chỉ.,MucHocPhi_QuyDinhChung.md; MucHocPhi_ChatLuongCao_TienTien.md,True,all_required
27,"Trong năm học 2026-2027, với Khóa 52 hệ đại trà, mỗi tín chỉ của phần đại cương chung được tính bao nhiêu?",actual_tuition,Mức học phí là 695.000 đồng/tín chỉ,Mức học phí là 695.000 đồng/tín chỉ,MucHocPhi_DaiHocChinhQuy_Khoa52.md,True,single
28,"Trong năm học 2026-2027, sinh viên chương trình chuẩn Khóa 52 học ngoài thời gian thiết kế của chương trình đào tạo ngành thứ nhất thì học phí nhân với hệ số nào?",actual_tuition,"Bị nhân với hệ số 1,3","Bị nhân với hệ số 1,3",MucHocPhi_QuyDinhChung.md,True,single
29,"Trong năm học 2026-2027, sinh viên chương trình chuẩn Khóa 51 học ngoài thời gian thiết kế của chương trình đào tạo ngành thứ nhất thì học phí nhân với hệ số nào?",actual_tuition,"Bị nhân với hệ số 1,3","Bị nhân với hệ số 1,3",MucHocPhi_QuyDinhChung.md,True,single
30,"Trong năm học 2026-2027, sư phạm Toán K51 trở về trước: mỗi tín chỉ đóng ở mức nào (chương trình chuẩn, khối đại cương ngành/cơ sở ngành/chuyên ngành)?",actual_tuition,Mức học phí là 695.000 đồng/tín chỉ,Mức học phí là 695.000 đồng/tín chỉ,MucHocPhi_DaiHocChinhQuy_Khoa51_VeTruoc.md,True,single
31,"Trong năm học 2026-2027, một tín chỉ của ngành Sư phạm Toán học Khóa 52 được tính học phí bao nhiêu (chương trình chuẩn, khối đại cương ngành/cơ sở ngành/chuyên ngành)?",actual_tuition,Mức học phí là 807.000 đồng/tín chỉ,Mức học phí là 807.000 đồng/tín chỉ,MucHocPhi_DaiHocChinhQuy_Khoa52.md,True,single
32,"Trong năm học 2026-2027, quản trị kinh doanh hệ đại trà Khóa 52 dự kiến đóng tổng học phí cho cả khóa bao nhiêu?",actual_tuition,"Học phí toàn khóa là 114,5 triệu đồng","Học phí toàn khóa là 114,5 triệu đồng",MucHocPhi_DaiHocChinhQuy_Khoa52.md,True,single
33,"Trong năm học 2026-2027, sinh viên Khoa học máy tính Khóa 52 đóng bao nhiêu cho mỗi tín chỉ (chương trình chuẩn, khối đại cương ngành/cơ sở ngành/chuyên ngành)?",actual_tuition,Mức học phí là 966.000 đồng/tín chỉ,Mức học phí là 966.000 đồng/tín chỉ,MucHocPhi_DaiHocChinhQuy_Khoa52.md,True,single
34,"Trong năm học 2026-2027, tổng học phí toàn khóa của ngành Kiến trúc hệ đại trà Khóa 52 là bao nhiêu?",actual_tuition,"Học phí toàn khóa là 165,6 triệu đồng","Học phí toàn khóa là 165,6 triệu đồng",MucHocPhi_DaiHocChinhQuy_Khoa52.md,True,single
35,"Trong năm học 2026-2027, cNTT CLC K52 thu học phí cố định theo năm ở mức nào?",actual_tuition,Học phí là 44 triệu đồng/năm học,Học phí là 44 triệu đồng/năm học,MucHocPhi_ChatLuongCao_TienTien.md,True,single
36,"Trong năm học 2026-2027, kinh doanh quốc tế CLC K51: học phí tính theo năm ở mức bao nhiêu?",actual_tuition,Học phí là 40 triệu đồng/năm học,Học phí là 40 triệu đồng/năm học,MucHocPhi_ChatLuongCao_TienTien.md,True,single
37,"Trong năm học 2026-2027, môn Năng lực số áp dụng cho Khóa 51 trở về trước được tính học phí ở mức nào (chương trình chuẩn)?",actual_tuition,Là 695.000 đồng/tín chỉ,Là 695.000 đồng/tín chỉ,MucHocPhi_QuyDinhChung.md,True,single
38,"Trong năm học 2026-2027, một tín chỉ chuyên ngành của sinh viên Kế toán Khóa 51 có mức học phí bao nhiêu (chương trình chuẩn, khối đại cương ngành/cơ sở ngành/chuyên ngành)?",actual_tuition,Mức học phí là 727.000 đồng/tín chỉ,Mức học phí là 727.000 đồng/tín chỉ,MucHocPhi_DaiHocChinhQuy_Khoa51_VeTruoc.md,True,single
39,"Trong năm học 2026-2027, kinh doanh nông nghiệp - Hòa An K52: mỗi tín chỉ phải đóng khoảng bao nhiêu (chương trình chuẩn, khối đại cương ngành/cơ sở ngành/chuyên ngành)?",actual_tuition,Học phí là 844.000 đồng/tín chỉ,Học phí là 844.000 đồng/tín chỉ,MucHocPhi_DaiHocChinhQuy_Khoa52.md,True,single
76,"Ở học kỳ đầu của K51, học bổng khuyến khích học tập tính bình quân ở mức nào?",scholarship,Mức học bổng bình quân là 5.000.000 đồng/sinh viên/học kỳ,Mức học bổng bình quân là 5.000.000 đồng/sinh viên/học kỳ,Tài liệu phân bổ quỹ học bổng.md; HB_K51_2026.md,True,any_valid
77,Tân sinh viên K51 thuộc diện tuyển thẳng được hưởng học bổng khuyến khích học tập kỳ đầu ở mức nào?,scholarship,Mức hưởng học bổng là 6.000.000 đồng/học kỳ,Mức hưởng học bổng là 6.000.000 đồng/học kỳ,Tài liệu phân bổ quỹ học bổng.md,True,single
78,Điểm rèn luyện nằm trong khoảng từ 80 đến dưới 90 được xếp vào mức nào?,scholarship,Được phân loại Tốt,Được phân loại Tốt,Tài liệu phân bổ quỹ học bổng.md,True,single
79,"Trong học kỳ 1 năm học 2025-2026, sinh viên khối VI - Sức khỏe đạt mức Xuất sắc thì nhận học bổng bao nhiêu?",scholarship,Mức học bổng loại Xuất sắc là 10.560.000 đồng/học kỳ,Mức học bổng loại Xuất sắc là 10.560.000 đồng/học kỳ,Tài liệu phân bổ quỹ học bổng.md,True,single
80,"Trong học kỳ 1 năm học 2025-2026, ở khối III (Kinh doanh, quản lý và pháp luật), học bổng mức Khá có giá trị bao nhiêu?",scholarship,Mức học bổng loại Khá là 6.600.000 đồng/học kỳ,Mức học bổng loại Khá là 6.600.000 đồng/học kỳ,Tài liệu phân bổ quỹ học bổng.md,True,single
